@relation 'adult.test_income_AM3-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L<50k-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L>50k-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Remove-R10'

@attribute Sex {0,1}
@attribute Capital-gain numeric
@attribute Capital-loss numeric
@attribute Hours-per-week numeric
@attribute Native-country {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}
@attribute Income {0,1}
@attribute Age numeric
@attribute Workclass {0,1,2,3,4,5,6,7}
@attribute Education {13,9,6,8,10,11,12,4,3,7,14,1,5,15,2,0}
@attribute Marital-status {0,1,2,3,4,5,6}
@attribute Occupation {0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Relationship {0,1,2,3,4,5}
@attribute Race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}

@data
0,0,1762,40,0,0,26,0,8,2,2,3,White
1,0,1977,40,0,1,50,4,11,0,12,2,White
1,7298,0,50,34,1,53,2,10,0,5,2,Asian-Pac-Islander
1,99999,0,40,0,1,48,0,13,0,1,2,White
1,0,0,55,0,0,59,0,8,0,10,2,White
1,0,0,40,0,0,54,0,3,1,7,3,Black
0,0,0,40,0,0,55,0,9,1,8,3,White
1,0,0,40,0,1,40,0,8,0,4,2,White
0,0,0,50,0,0,47,0,13,2,4,3,White
0,0,0,25,0,0,19,0,9,2,3,1,White
0,0,0,40,0,0,44,0,8,5,8,5,White
1,0,0,55,0,1,58,0,8,4,4,3,White
1,0,0,45,0,0,26,0,13,2,12,4,White
1,0,1579,45,0,0,31,2,11,0,1,2,White
1,0,0,80,0,0,28,1,5,2,3,1,White
0,0,0,40,0,0,27,0,8,1,2,5,Black
0,0,0,70,0,0,56,1,14,0,3,0,White
1,0,0,40,0,0,44,0,8,0,10,2,White
0,0,0,18,0,0,26,0,9,1,8,5,White
1,0,0,16,0,0,51,0,8,1,3,5,White
1,0,0,48,0,1,34,0,9,0,1,2,White
1,0,0,20,0,0,50,1,14,0,4,2,White
1,0,0,12,0,0,67,5,13,0,5,2,Asian-Pac-Islander
1,0,0,40,0,0,27,0,9,2,5,3,White
1,0,1340,40,0,0,27,0,13,2,0,3,White
1,0,0,40,20,0,23,0,5,2,6,1,White
1,0,0,40,0,1,61,0,8,0,1,2,White
1,0,0,46,0,1,49,0,13,0,4,2,White
0,7430,0,60,0,1,43,4,14,5,5,5,White
1,0,0,30,0,0,62,1,8,0,10,2,White
1,0,0,30,0,0,69,2,8,0,3,2,White
1,0,0,60,0,1,37,2,10,0,5,2,White
1,5178,0,40,0,1,39,1,9,0,1,2,White
1,27828,0,45,0,1,43,2,11,2,4,3,White
1,0,0,40,0,0,35,0,13,0,8,2,White
1,0,0,40,0,0,30,0,13,0,9,2,White
1,0,0,20,0,1,59,2,13,0,5,2,White
1,0,0,84,0,1,39,2,9,0,4,2,White
1,13550,0,50,0,1,23,0,13,2,5,1,White
1,14344,0,48,0,1,41,0,8,2,7,1,White
0,0,0,30,0,0,21,0,13,2,3,1,Black
1,0,0,45,0,0,53,0,6,0,1,2,White
0,0,0,20,0,0,33,4,13,2,5,3,White
0,0,0,35,0,0,25,0,8,2,3,3,White
1,0,0,40,0,0,34,0,8,2,10,1,Black
0,0,0,62,0,0,26,0,8,1,8,3,White
1,0,0,40,0,0,59,0,8,1,8,3,Black
0,0,0,40,0,0,20,0,8,2,11,1,White
1,0,0,45,0,0,23,0,8,2,9,3,White
1,0,0,80,29,1,33,0,13,0,3,2,White
1,0,0,40,0,0,23,0,9,3,2,1,White
1,0,0,40,0,0,32,0,8,2,7,1,White
1,0,0,45,0,1,30,0,8,0,1,2,White
1,0,0,50,0,1,29,0,13,0,5,2,White
1,0,0,45,0,0,31,1,8,2,1,3,White
1,0,0,40,0,1,35,0,12,0,1,2,White
0,0,0,40,0,0,34,3,8,1,2,3,White
1,0,0,40,0,0,30,5,8,0,8,2,White
1,0,0,40,0,0,41,0,9,0,1,2,White
1,0,0,54,0,1,56,0,9,0,4,2,White
1,0,0,40,35,1,53,1,8,0,1,2,White
1,0,0,52,0,1,56,0,8,0,1,2,Black
0,0,0,8,0,0,17,0,5,2,2,1,White
1,0,0,40,0,0,24,0,11,0,2,2,White
0,0,0,35,0,0,24,0,4,5,3,3,White
1,3103,0,45,0,1,26,0,12,0,3,2,White
1,0,0,60,0,0,26,0,14,2,4,3,White
1,3103,0,40,0,1,59,5,13,0,5,2,White
1,0,0,60,0,0,44,3,8,0,10,2,Black
0,0,1726,40,0,0,38,0,9,1,0,5,White
1,0,0,40,0,0,25,0,9,2,7,3,White
1,0,0,50,0,1,52,4,14,0,4,2,White
1,0,0,40,0,0,37,0,9,0,1,2,White
1,0,0,60,0,1,33,0,9,0,4,2,White
1,0,0,40,0,0,28,0,9,3,8,3,White
0,0,1602,20,0,0,19,3,9,2,8,1,Black
0,0,0,40,0,0,46,0,9,1,4,3,White
1,0,0,40,0,0,30,4,8,0,2,2,White
0,0,0,40,0,1,33,0,13,2,5,1,White
0,0,0,40,0,0,48,0,5,2,11,4,White
1,0,1902,42,0,1,51,0,8,0,6,2,White
1,0,0,50,0,1,34,2,13,0,4,2,White
1,0,0,40,0,1,39,0,8,0,6,2,White
1,0,0,6,0,0,68,1,2,0,1,2,Black
1,0,0,40,0,0,28,0,9,0,6,2,White
0,0,0,40,0,1,90,0,8,2,8,3,White
1,0,0,40,0,0,42,0,13,0,10,2,White
1,0,0,75,0,1,43,3,9,0,0,2,White
0,0,0,40,0,0,57,0,12,2,2,1,White
1,3103,0,40,0,1,28,0,13,0,5,2,White
1,0,0,40,36,0,36,0,3,0,6,2,White
1,0,0,50,0,0,31,0,8,2,4,3,White
1,0,0,40,0,0,27,5,9,2,1,4,White
1,0,0,40,0,0,21,0,8,2,7,1,White
0,0,0,35,0,0,41,0,9,0,8,0,White
0,0,0,40,20,0,21,0,8,2,8,1,White
1,0,0,40,0,0,59,0,5,0,6,2,White
1,0,0,40,0,0,19,0,8,2,6,1,White
1,0,0,45,0,0,32,0,8,0,1,2,White
1,0,0,60,0,1,38,0,13,0,4,2,Asian-Pac-Islander
1,0,0,70,0,1,58,2,13,0,3,2,White
0,0,0,40,0,0,21,0,8,2,8,1,White
1,0,1876,40,0,0,37,3,14,2,5,3,White
0,0,0,40,0,0,47,0,8,1,8,5,White
0,0,0,55,0,1,31,0,9,1,7,5,White
0,0,0,30,0,0,44,0,12,4,4,5,White
0,0,0,40,0,0,50,0,9,1,4,3,White
1,0,0,49,28,0,29,0,8,5,10,3,Black
1,0,0,25,0,0,59,1,13,0,4,2,White
0,0,0,40,0,0,27,0,11,2,4,3,White
0,0,0,20,0,0,22,0,12,2,3,1,White
0,0,0,40,0,0,31,0,9,1,2,3,White
1,7298,0,40,0,1,53,3,8,0,8,2,White
1,15024,0,50,0,1,35,0,13,0,4,2,White
0,0,0,40,0,1,47,0,8,0,8,0,White
1,0,0,45,2,1,47,0,13,0,4,2,White
0,2463,0,30,0,0,25,0,13,2,2,1,White
1,0,0,40,0,0,46,5,13,0,1,2,White
1,0,0,40,0,0,77,1,3,0,9,2,White
1,0,0,7,0,0,35,1,13,0,1,2,White
1,0,0,35,0,0,29,0,8,0,8,2,White
1,0,0,40,19,0,25,0,8,2,10,3,Asian-Pac-Islander
1,0,0,20,0,0,18,0,6,2,3,5,White
1,0,0,60,0,0,38,0,13,0,4,2,White
1,0,0,55,0,1,37,1,10,2,5,3,White
1,0,0,60,0,0,43,0,8,0,10,2,White
1,0,0,40,0,0,48,0,8,0,0,2,White
0,0,0,40,0,0,24,0,12,1,0,3,White
0,0,0,36,0,0,22,0,8,2,3,1,White
1,0,0,40,0,0,25,0,5,2,7,3,White
0,0,2205,30,15,0,22,0,11,2,8,1,Asian-Pac-Islander
0,0,0,4,0,0,21,0,9,2,0,1,Black
1,7688,0,44,0,1,36,0,11,0,4,2,White
1,0,0,55,0,1,50,0,14,0,4,2,White
1,0,0,40,0,0,28,0,9,1,1,3,White
0,0,1092,40,0,0,33,5,13,1,5,3,White
0,0,0,40,0,0,48,0,13,1,0,1,White
1,10566,0,40,0,0,64,0,8,0,10,2,White
0,0,0,38,0,0,21,0,13,2,8,1,Black
1,0,0,70,0,0,22,0,8,2,2,3,Black
1,0,0,40,0,0,24,0,7,2,1,3,White
1,0,0,65,0,1,40,2,11,0,4,2,White
1,0,0,40,0,0,23,0,8,2,2,1,White
1,0,0,50,0,1,30,0,10,2,5,3,White
0,0,0,20,0,0,23,0,9,2,2,3,White
1,0,0,70,0,0,31,1,13,0,9,2,White
1,15024,0,45,0,1,38,0,8,0,1,2,White
0,0,0,10,0,0,41,4,13,3,5,5,White
0,0,0,40,0,1,46,4,13,0,5,0,White
0,0,2415,3,0,1,49,0,13,0,5,0,White
1,0,0,40,0,0,50,0,11,1,1,5,White
0,0,0,40,0,0,33,0,14,2,3,3,White
1,0,0,40,0,0,27,0,8,1,10,4,White
1,4064,0,40,0,0,47,0,9,0,0,2,Black
1,0,0,60,0,1,47,2,13,0,5,2,White
1,0,0,20,0,0,43,1,11,0,1,2,White
1,0,0,50,0,1,45,0,8,0,1,2,White
1,0,0,45,0,1,53,2,11,0,10,2,White
1,6767,0,40,0,0,67,0,9,0,3,2,White
1,0,323,40,0,0,42,3,12,1,4,5,White
0,27828,0,50,0,1,37,3,14,2,4,3,White
1,0,0,40,0,0,33,0,13,0,3,2,White
1,0,0,40,0,0,53,0,8,1,1,4,White
1,7298,0,40,0,1,47,4,13,0,5,2,White
1,0,0,45,20,0,36,0,8,0,7,2,White
0,0,0,40,0,0,24,0,13,2,0,3,White
1,0,2057,48,0,0,30,0,8,0,7,4,White
1,0,0,60,0,1,40,0,8,0,1,2,White
0,0,0,45,8,0,28,0,9,2,8,5,White
1,0,0,45,0,0,42,1,14,2,5,3,White
1,0,0,20,0,0,19,0,9,2,2,1,White
1,0,0,25,0,0,44,1,9,0,3,2,White
0,0,0,28,0,0,19,0,6,2,2,1,White
1,0,0,25,0,0,48,0,14,1,5,3,White
0,0,0,8,0,0,30,0,6,2,3,5,White
1,0,0,15,0,0,18,0,8,2,2,1,White
0,0,0,20,0,0,40,4,13,0,5,0,White
0,0,0,40,0,0,51,0,5,4,3,5,White
1,0,0,48,0,1,50,2,11,0,5,2,White
1,0,0,50,0,0,34,1,8,0,9,2,White
1,0,0,40,15,0,21,0,9,2,6,1,Asian-Pac-Islander
1,0,1887,40,0,1,42,0,9,0,1,2,White
1,0,0,40,15,0,49,3,8,0,10,2,Asian-Pac-Islander
1,0,0,40,0,0,26,0,9,0,7,2,Amer-Indian-Eskimo
1,0,0,40,0,0,36,0,8,0,1,2,White
0,3325,0,40,0,0,34,5,13,2,8,3,Black
0,0,0,24,0,0,17,0,6,2,3,1,White
0,0,0,40,0,0,25,4,13,2,5,1,White
1,0,0,50,0,0,28,5,14,2,5,3,White
1,0,0,55,0,1,44,1,7,0,4,2,White
0,0,0,20,0,0,20,0,7,2,8,1,White
1,0,0,20,15,0,50,0,13,0,1,2,Asian-Pac-Islander
1,0,0,40,0,0,31,3,12,0,6,2,White
0,0,0,43,0,0,25,0,8,2,6,4,Black
0,0,0,35,0,0,21,0,13,0,3,4,White
1,0,0,40,0,0,59,4,6,0,2,2,White
0,0,0,8,0,0,33,1,14,0,5,0,White
0,0,1504,40,0,0,37,0,11,1,8,3,White
1,0,0,40,0,1,31,5,12,0,3,2,White
1,0,0,40,0,1,44,0,11,0,1,2,White
0,0,0,20,0,0,40,1,13,1,2,5,White
1,0,0,44,0,0,47,4,9,0,12,2,White
1,0,0,50,0,1,33,4,8,0,1,2,White
1,0,0,40,0,0,27,0,6,2,2,1,Other
1,5013,0,40,0,0,51,0,8,0,10,2,White
0,0,0,40,0,0,70,2,13,1,3,3,White
1,0,0,40,0,0,40,0,9,1,7,3,Black
1,0,0,40,0,1,45,5,9,0,12,2,White
1,0,1977,50,0,1,44,1,10,0,5,2,White
1,0,0,40,0,0,46,0,8,0,2,2,White
1,0,0,45,0,0,40,1,9,0,1,2,White
1,0,0,50,0,1,59,2,8,0,3,2,White
1,0,0,25,0,0,63,2,2,0,3,2,White
1,0,0,40,0,0,31,0,6,0,12,2,White
1,0,1848,50,0,1,28,0,9,0,4,2,White
1,0,0,40,0,0,54,0,8,0,1,2,White
1,0,0,99,0,0,42,0,8,0,10,2,White
1,0,0,40,0,0,36,0,8,1,10,5,White
1,0,0,40,0,0,52,0,5,2,7,3,White
1,0,0,55,0,0,35,0,11,2,7,3,White
1,0,0,40,0,1,39,0,8,0,1,2,White
0,8614,0,52,0,1,42,0,9,1,2,3,White
1,0,0,45,0,1,32,5,13,0,5,2,White
1,0,0,36,0,0,29,0,8,2,6,3,White
1,0,0,60,0,0,39,0,8,1,10,1,White
0,0,0,50,0,0,40,4,14,1,5,3,White
0,0,0,40,0,0,29,0,13,2,0,3,Black
1,0,0,40,12,0,46,0,8,1,12,3,White
0,0,0,40,0,0,37,3,9,2,4,1,Black
1,0,0,40,0,0,53,0,8,0,4,2,White
1,0,0,60,0,0,45,0,12,1,4,3,White
1,0,0,48,0,0,53,4,9,1,12,3,White
0,0,0,18,0,0,20,0,9,2,2,1,White
1,0,0,40,0,0,58,0,8,0,8,2,White
1,0,0,50,0,1,33,0,8,0,7,2,White
1,0,1721,45,0,0,39,0,12,1,1,3,White
0,0,0,40,0,0,57,0,9,1,8,5,White
1,0,1564,50,0,1,46,2,14,2,4,3,White
0,0,0,40,0,0,19,0,8,2,2,1,White
1,0,0,40,0,1,54,2,13,0,0,2,White
1,0,0,50,0,0,17,0,4,2,2,3,White
1,0,0,40,20,0,30,0,4,5,9,3,White
1,7688,0,55,0,1,37,4,14,0,4,2,White
1,0,0,40,0,0,42,3,8,0,7,2,White
1,0,0,60,0,1,37,1,8,0,10,2,White
1,0,0,40,0,1,29,0,13,0,4,2,White
1,0,0,40,0,1,50,0,5,0,10,2,White
1,0,0,20,0,0,23,0,8,2,8,1,Black
1,0,0,40,0,1,58,0,13,0,3,2,White
1,0,0,25,20,0,21,0,0,2,9,3,White
0,0,0,40,20,0,22,0,4,2,3,4,White
1,0,0,60,8,1,43,2,14,0,4,2,Asian-Pac-Islander
0,0,0,40,0,0,41,0,14,1,4,5,White
1,0,0,40,0,0,26,0,8,2,8,1,Black
1,0,0,40,0,0,45,0,5,0,7,2,White
1,0,0,40,0,0,65,0,8,0,1,2,White
1,3325,0,40,0,0,44,0,9,1,7,3,White
1,3325,0,40,0,0,25,0,9,2,8,3,White
1,0,0,40,0,0,56,0,4,0,1,2,White
1,0,0,42,0,1,43,3,13,0,8,2,White
1,0,0,40,8,0,32,0,8,2,7,3,White
1,0,0,75,0,0,29,1,12,2,9,3,White
0,0,0,40,0,0,33,0,13,1,4,5,White
1,0,0,40,0,0,40,0,8,1,8,3,White
1,15024,0,49,0,1,45,0,8,0,1,2,White
0,0,0,40,0,0,40,5,10,2,5,1,White
1,0,1504,40,0,0,31,0,9,2,3,3,White
1,0,0,60,0,0,46,0,14,0,4,2,White
1,0,0,40,0,0,48,0,3,1,2,3,White
1,0,0,40,0,0,24,0,9,2,1,5,White
1,99999,0,60,0,1,48,1,15,0,5,2,White
0,0,0,40,0,0,25,0,13,2,8,1,Black
1,0,1573,44,0,0,55,2,8,0,3,2,White
1,0,0,35,0,0,34,0,11,0,2,2,White
1,0,0,40,28,0,26,0,9,2,3,3,Black
1,0,0,50,0,0,38,0,12,2,9,3,White
0,0,0,40,0,1,53,3,11,0,8,0,Black
1,0,0,40,0,0,26,0,8,2,2,1,Black
1,2176,0,36,20,0,21,0,2,2,9,3,White
1,0,0,46,0,0,41,0,9,1,3,5,White
1,0,0,45,10,0,45,1,8,0,1,2,Asian-Pac-Islander
1,0,0,40,38,1,47,3,13,0,4,2,Other
1,0,1887,40,0,1,23,0,12,0,0,2,White
1,0,0,50,0,1,34,0,14,0,8,2,White
1,0,0,40,28,0,45,1,5,0,1,2,Black
1,0,0,50,0,0,27,1,8,2,9,5,White
0,0,0,15,0,0,17,3,6,2,8,1,Amer-Indian-Eskimo
0,0,0,40,0,0,33,0,8,1,7,5,Black
0,0,0,40,0,0,43,5,13,1,5,3,White
0,0,0,40,0,0,55,0,8,1,8,3,White
0,0,0,20,0,0,52,4,8,4,2,3,White
1,0,0,40,0,0,44,0,13,0,7,2,White
1,0,0,40,0,0,45,5,14,0,4,2,White
0,0,0,42,0,0,47,0,9,1,8,5,White
1,0,0,35,0,1,48,0,13,0,0,2,White
1,0,0,50,12,0,66,1,2,0,10,2,White
1,0,0,25,0,0,47,1,11,0,4,2,White
1,0,0,65,0,0,38,2,9,2,3,3,White
0,0,0,40,0,0,23,0,8,2,8,3,White
1,0,0,23,0,0,18,0,6,2,6,1,White
1,0,0,40,0,0,42,0,13,0,5,2,White
0,15024,0,50,4,1,40,0,14,0,5,0,White
1,0,0,40,0,0,25,0,8,2,3,1,White
1,0,0,50,0,1,38,0,8,0,10,2,White
1,0,0,40,0,0,31,2,11,0,3,2,White
1,0,0,40,0,1,41,0,11,0,5,2,White
0,0,0,30,0,0,24,0,8,2,6,3,White
1,0,0,40,28,0,47,0,14,0,8,2,Black
1,0,0,45,0,0,22,0,12,2,3,1,White
1,0,0,40,6,0,52,0,4,0,6,2,White
1,0,0,47,0,0,45,4,11,1,4,5,White
1,0,0,45,0,0,31,0,13,0,9,2,White
1,0,0,60,0,0,48,0,14,2,5,3,White
0,0,0,40,0,0,22,2,8,2,8,5,Black
1,0,0,50,0,0,45,0,9,0,4,2,White
1,0,2205,60,0,0,31,1,5,2,10,3,White
1,0,0,50,0,0,28,0,8,2,1,1,White
1,0,0,40,0,1,36,1,13,0,3,2,White
1,0,0,50,0,0,41,2,5,0,4,2,White
0,0,0,40,0,0,24,0,13,2,8,1,White
1,6849,0,40,0,0,57,4,9,4,4,3,White
0,0,0,40,0,0,20,0,8,2,2,1,Black
1,4650,0,40,0,0,34,0,14,2,4,1,White
1,0,0,35,0,0,23,0,9,2,2,1,White
0,0,0,40,0,0,21,0,8,2,2,3,White
1,0,0,40,0,0,33,0,8,1,1,3,White
0,0,0,20,0,0,20,0,8,2,3,1,Black
1,0,0,40,0,1,53,5,9,0,4,2,White
1,0,0,40,4,0,35,0,8,0,9,2,White
0,0,0,55,0,0,31,0,9,2,8,3,White
1,3103,0,43,0,1,40,0,14,0,3,2,White
0,0,0,48,0,1,37,3,13,0,5,0,White
1,0,0,40,0,0,37,0,9,1,1,1,White
0,0,0,35,0,0,19,0,8,2,2,1,White
1,0,0,50,0,0,42,0,14,2,5,3,White
0,0,0,40,8,0,24,0,9,2,8,3,White
0,0,0,50,18,0,35,0,11,1,4,5,Black
1,0,0,40,0,1,46,0,9,0,12,2,White
0,0,0,40,20,0,25,0,8,2,3,1,White
1,0,0,40,21,0,39,1,8,0,1,2,White
1,0,0,20,0,0,20,0,8,2,6,1,Black
1,0,0,20,0,0,76,1,9,4,3,3,White
0,0,0,40,0,1,32,0,13,0,1,0,White
1,0,0,44,0,1,27,0,12,0,5,2,White
1,0,0,40,0,0,39,0,9,2,3,3,White
0,0,0,40,0,0,22,0,11,2,9,3,Black
1,0,0,40,0,0,30,0,8,1,1,1,White
1,0,0,40,0,0,23,0,8,2,1,3,White
1,15024,0,40,0,1,47,0,8,0,8,2,White
1,0,0,40,32,0,59,0,8,0,2,4,White
1,0,0,45,0,0,24,0,8,2,1,5,White
0,0,0,40,0,0,59,3,8,2,4,4,White
1,0,0,40,0,1,52,4,9,0,12,2,White
1,0,0,35,0,0,36,0,13,0,1,2,White
1,0,0,42,0,0,24,0,13,2,0,1,White
1,0,0,50,0,0,24,0,8,2,6,3,Black
1,0,0,40,0,0,24,0,8,0,7,2,White
0,0,0,45,0,0,45,4,14,2,5,3,White
1,0,0,40,0,1,48,0,13,0,4,2,White
0,0,0,40,0,0,38,0,8,3,11,5,Black
1,0,0,40,0,0,82,1,3,0,4,2,White
0,0,0,40,0,0,24,0,13,2,8,3,White
0,0,0,40,0,0,22,4,9,2,8,1,Amer-Indian-Eskimo
0,0,0,40,0,1,57,5,9,0,8,0,White
0,0,0,15,0,0,22,0,8,2,2,4,Black
0,0,1719,20,0,0,18,0,6,2,2,1,White
1,0,0,32,0,0,33,0,8,0,12,2,White
1,0,0,40,0,0,42,4,9,0,8,2,White
1,0,0,40,0,0,33,0,8,0,1,2,White
0,0,0,38,0,0,32,0,12,2,5,3,White
0,0,0,25,0,0,29,0,8,3,2,3,White
0,99999,0,40,0,1,23,5,9,2,12,3,Other
1,0,0,50,0,0,24,0,9,0,4,2,White
1,0,0,45,0,1,52,0,14,0,1,2,White
0,0,0,55,0,0,52,0,9,3,3,4,White
1,0,0,43,38,0,25,0,13,2,5,3,White
1,0,0,40,0,0,20,0,6,2,2,3,White
1,0,0,40,0,0,32,0,8,0,3,2,White
1,0,0,40,0,0,47,4,14,2,0,3,White
0,0,1340,45,0,0,32,1,13,1,5,3,White
1,0,0,40,0,1,29,2,13,2,3,3,White
1,0,0,36,0,1,50,4,14,0,5,2,White
1,0,0,40,0,0,43,0,8,4,10,5,Black
0,0,0,7,0,0,17,4,6,2,5,1,White
0,0,0,40,0,0,27,0,13,2,8,3,Black
