@relation 'adult.test_income_AM3-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L<50k-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L>50k-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Remove-R1'

@attribute Marital-status {0,1,2,3,4,5,6}
@attribute Occupation {0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Relationship {0,1,2,3,4,5}
@attribute Race {0,1,2,3,4}
@attribute Sex {0,1}
@attribute Capital-gain numeric
@attribute Capital-loss numeric
@attribute Hours-per-week numeric
@attribute Native-country {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}
@attribute Income {0,1}
@attribute Age numeric
@attribute Workclass {0,1,2,3,4,5,6,7}
@attribute Education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}

@data
0,6,2,0,1,0,0,40,0,1,35,0,HS-grad
1,7,5,1,0,0,0,40,10,0,44,0,12th
2,8,4,0,0,0,0,40,0,0,37,0,Bachelors
2,3,1,0,0,0,0,40,0,0,26,0,Some-college
2,2,3,0,1,0,0,40,3,0,48,0,HS-grad
2,7,5,4,1,0,0,40,0,0,27,0,Some-college
0,4,2,0,1,0,0,40,0,1,51,3,Some-college
2,8,1,0,0,0,0,40,5,0,23,0,Assoc-voc
5,2,3,4,1,0,0,40,0,0,36,0,HS-grad
0,1,2,2,1,5178,0,50,0,1,42,0,Some-college
0,5,2,4,1,0,0,50,0,1,34,0,Assoc-acdm
0,4,2,0,1,0,0,45,0,1,42,1,Bachelors
2,6,3,0,1,0,0,40,0,0,20,4,Some-college
0,3,2,0,1,5178,0,40,0,1,42,0,Some-college
2,1,4,3,1,0,0,40,3,0,35,0,HS-grad
2,2,1,0,1,2176,0,20,0,0,17,0,11th
2,9,1,1,1,0,0,35,0,0,21,1,HS-grad
0,5,2,0,1,0,0,40,0,1,50,0,Doctorate
0,1,2,0,1,0,0,60,0,0,51,2,Some-college
0,12,2,0,1,0,0,20,0,0,77,4,Some-college
0,7,2,0,1,0,0,40,0,0,33,0,HS-grad
0,4,2,4,1,0,0,40,0,1,46,0,HS-grad
0,4,2,0,1,0,0,50,0,1,61,0,Bachelors
0,5,2,0,1,0,0,65,0,0,35,5,Assoc-acdm
0,4,2,0,1,0,0,40,0,1,43,2,Bachelors
2,3,1,0,0,2597,0,20,0,0,20,0,Some-college
1,0,5,0,0,0,0,40,0,0,31,0,Bachelors
2,5,3,0,0,0,0,10,0,0,23,4,Bachelors
0,5,2,0,1,0,1740,40,0,0,51,0,Masters
2,4,5,2,0,0,0,40,0,0,34,0,Assoc-voc
0,4,2,0,1,0,0,50,0,0,49,1,HS-grad
3,8,5,4,0,0,0,40,0,0,36,4,HS-grad
2,6,3,0,1,0,0,40,0,0,24,0,HS-grad
1,3,5,0,0,0,0,75,0,0,44,0,Bachelors
1,9,5,4,0,0,0,39,0,0,45,0,HS-grad
2,0,3,0,1,0,0,45,0,0,27,0,HS-grad
0,8,0,0,0,0,0,43,0,1,21,0,HS-grad
2,2,3,0,1,0,0,40,0,0,33,0,HS-grad
0,7,2,4,1,0,0,48,0,0,58,0,5th-6th
0,9,2,0,1,0,0,40,0,0,42,5,Some-college
2,6,5,0,1,0,0,40,0,0,21,0,Some-college
2,7,3,0,1,0,0,42,0,0,24,0,Some-college
0,2,2,0,1,0,0,43,20,0,41,0,1st-4th
0,5,2,0,1,0,0,40,0,1,69,0,Some-college
2,5,1,0,1,0,0,30,0,0,28,1,Some-college
3,3,3,0,0,0,0,40,0,0,36,0,HS-grad
0,6,2,2,1,0,0,40,0,0,33,0,HS-grad
2,4,3,0,1,0,0,40,0,0,24,0,Bachelors
2,2,3,0,0,0,0,30,0,0,18,0,HS-grad
0,1,2,0,1,0,0,50,0,0,29,0,Some-college
2,3,4,1,1,0,0,20,7,0,24,0,Some-college
2,8,3,0,0,0,0,40,0,0,26,0,HS-grad
1,5,5,0,0,0,0,29,0,0,47,0,Doctorate
4,8,3,0,0,0,0,40,0,0,67,0,HS-grad
2,0,1,0,1,0,0,40,0,0,22,0,Some-college
0,10,2,0,1,0,0,40,0,0,46,1,9th
0,4,2,0,1,0,0,40,0,1,30,5,Bachelors
2,5,3,0,0,0,0,40,4,0,33,0,Bachelors
2,5,3,0,0,0,0,50,0,0,26,0,Bachelors
1,3,3,0,0,0,0,34,0,0,31,0,HS-grad
2,2,3,0,0,0,1762,40,0,0,26,0,HS-grad
0,12,2,0,1,0,1977,40,0,1,50,4,Assoc-acdm
0,5,2,1,1,7298,0,50,34,1,53,2,Prof-school
0,1,2,0,1,99999,0,40,0,1,48,0,Bachelors
0,10,2,0,1,0,0,55,0,0,59,0,HS-grad
1,7,3,4,1,0,0,40,0,0,54,0,7th-8th
1,8,3,0,0,0,0,40,0,0,55,0,Some-college
0,4,2,0,1,0,0,40,0,1,40,0,HS-grad
2,4,3,0,0,0,0,50,0,0,47,0,Bachelors
2,3,1,0,0,0,0,25,0,0,19,0,Some-college
5,8,5,0,0,0,0,40,0,0,44,0,HS-grad
4,4,3,0,1,0,0,55,0,1,58,0,HS-grad
2,12,4,0,1,0,0,45,0,0,26,0,Bachelors
0,1,2,0,1,0,1579,45,0,0,31,2,Assoc-acdm
2,3,1,0,1,0,0,80,0,0,28,1,10th
1,2,5,4,0,0,0,40,0,0,27,0,HS-grad
0,3,0,0,0,0,0,70,0,0,56,1,Masters
0,10,2,0,1,0,0,40,0,0,44,0,HS-grad
1,8,5,0,0,0,0,18,0,0,26,0,Some-college
1,3,5,0,1,0,0,16,0,0,51,0,HS-grad
0,1,2,0,1,0,0,48,0,1,34,0,Some-college
0,4,2,0,1,0,0,20,0,0,50,1,Masters
0,5,2,1,1,0,0,12,0,0,67,5,Bachelors
2,5,3,0,1,0,0,40,0,0,27,0,Some-college
2,0,3,0,1,0,1340,40,0,0,27,0,Bachelors
2,6,1,0,1,0,0,40,20,0,23,0,10th
0,1,2,0,1,0,0,40,0,1,61,0,HS-grad
0,4,2,0,1,0,0,46,0,1,49,0,Bachelors
5,5,5,0,0,7430,0,60,0,1,43,4,Masters
0,10,2,0,1,0,0,30,0,0,62,1,HS-grad
0,3,2,0,1,0,0,30,0,0,69,2,HS-grad
0,5,2,0,1,0,0,60,0,1,37,2,Prof-school
0,1,2,0,1,5178,0,40,0,1,39,1,Some-college
2,4,3,0,1,27828,0,45,0,1,43,2,Assoc-acdm
0,8,2,0,1,0,0,40,0,0,35,0,Bachelors
0,9,2,0,1,0,0,40,0,0,30,0,Bachelors
0,5,2,0,1,0,0,20,0,1,59,2,Bachelors
0,4,2,0,1,0,0,84,0,1,39,2,Some-college
2,5,1,0,1,13550,0,50,0,1,23,0,Bachelors
2,7,1,0,1,14344,0,48,0,1,41,0,HS-grad
2,3,1,4,0,0,0,30,0,0,21,0,Bachelors
0,1,2,0,1,0,0,45,0,0,53,0,11th
2,5,3,0,0,0,0,20,0,0,33,4,Bachelors
2,3,3,0,0,0,0,35,0,0,25,0,HS-grad
2,10,1,4,1,0,0,40,0,0,34,0,HS-grad
1,8,3,0,0,0,0,62,0,0,26,0,HS-grad
1,8,3,4,1,0,0,40,0,0,59,0,HS-grad
2,11,1,0,0,0,0,40,0,0,20,0,HS-grad
2,9,3,0,1,0,0,45,0,0,23,0,HS-grad
0,3,2,0,1,0,0,80,29,1,33,0,Bachelors
3,2,1,0,1,0,0,40,0,0,23,0,Some-college
2,7,1,0,1,0,0,40,0,0,32,0,HS-grad
0,1,2,0,1,0,0,45,0,1,30,0,HS-grad
0,5,2,0,1,0,0,50,0,1,29,0,Bachelors
2,1,3,0,1,0,0,45,0,0,31,1,HS-grad
0,1,2,0,1,0,0,40,0,1,35,0,Assoc-voc
1,2,3,0,0,0,0,40,0,0,34,3,HS-grad
0,8,2,0,1,0,0,40,0,0,30,5,HS-grad
0,1,2,0,1,0,0,40,0,0,41,0,Some-college
0,4,2,0,1,0,0,54,0,1,56,0,Some-college
0,1,2,0,1,0,0,40,35,1,53,1,HS-grad
0,1,2,4,1,0,0,52,0,1,56,0,HS-grad
2,2,1,0,0,0,0,8,0,0,17,0,10th
0,2,2,0,1,0,0,40,0,0,24,0,Assoc-acdm
5,3,3,0,0,0,0,35,0,0,24,0,9th
0,3,2,0,1,3103,0,45,0,1,26,0,Assoc-voc
2,4,3,0,1,0,0,60,0,0,26,0,Masters
0,5,2,0,1,3103,0,40,0,1,59,5,Bachelors
0,10,2,4,1,0,0,60,0,0,44,3,HS-grad
1,0,5,0,0,0,1726,40,0,0,38,0,Some-college
2,7,3,0,1,0,0,40,0,0,25,0,Some-college
0,4,2,0,1,0,0,50,0,1,52,4,Masters
0,1,2,0,1,0,0,40,0,0,37,0,Some-college
0,4,2,0,1,0,0,60,0,1,33,0,Some-college
3,8,3,0,1,0,0,40,0,0,28,0,Some-college
2,8,1,4,0,0,1602,20,0,0,19,3,Some-college
1,4,3,0,0,0,0,40,0,0,46,0,Some-college
0,2,2,0,1,0,0,40,0,0,30,4,HS-grad
2,5,1,0,0,0,0,40,0,1,33,0,Bachelors
2,11,4,0,0,0,0,40,0,0,48,0,10th
0,6,2,0,1,0,1902,42,0,1,51,0,HS-grad
0,4,2,0,1,0,0,50,0,1,34,2,Bachelors
0,6,2,0,1,0,0,40,0,1,39,0,HS-grad
0,1,2,4,1,0,0,6,0,0,68,1,5th-6th
0,6,2,0,1,0,0,40,0,0,28,0,Some-college
2,8,3,0,0,0,0,40,0,1,90,0,HS-grad
0,10,2,0,1,0,0,40,0,0,42,0,Bachelors
0,0,2,0,1,0,0,75,0,1,43,3,Some-college
2,2,1,0,0,0,0,40,0,0,57,0,Assoc-voc
0,5,2,0,1,3103,0,40,0,1,28,0,Bachelors
0,6,2,0,1,0,0,40,36,0,36,0,7th-8th
2,4,3,0,1,0,0,50,0,0,31,0,HS-grad
2,1,4,0,1,0,0,40,0,0,27,5,Some-college
2,7,1,0,1,0,0,40,0,0,21,0,HS-grad
0,8,0,0,0,0,0,35,0,0,41,0,Some-college
2,8,1,0,0,0,0,40,20,0,21,0,HS-grad
0,6,2,0,1,0,0,40,0,0,59,0,10th
2,6,1,0,1,0,0,40,0,0,19,0,HS-grad
0,1,2,0,1,0,0,45,0,0,32,0,HS-grad
0,4,2,1,1,0,0,60,0,1,38,0,Bachelors
0,3,2,0,1,0,0,70,0,1,58,2,Bachelors
2,8,1,0,0,0,0,40,0,0,21,0,HS-grad
2,5,3,0,1,0,1876,40,0,0,37,3,Masters
1,8,5,0,0,0,0,40,0,0,47,0,HS-grad
1,7,5,0,0,0,0,55,0,1,31,0,Some-college
4,4,5,0,0,0,0,30,0,0,44,0,Assoc-voc
1,4,3,0,0,0,0,40,0,0,50,0,Some-college
5,10,3,4,1,0,0,49,28,0,29,0,HS-grad
0,4,2,0,1,0,0,25,0,0,59,1,Bachelors
2,4,3,0,0,0,0,40,0,0,27,0,Assoc-acdm
2,3,1,0,0,0,0,20,0,0,22,0,Assoc-voc
1,2,3,0,0,0,0,40,0,0,31,0,Some-college
0,8,2,0,1,7298,0,40,0,1,53,3,HS-grad
0,4,2,0,1,15024,0,50,0,1,35,0,Bachelors
0,8,0,0,0,0,0,40,0,1,47,0,HS-grad
0,4,2,0,1,0,0,45,2,1,47,0,Bachelors
2,2,1,0,0,2463,0,30,0,0,25,0,Bachelors
0,1,2,0,1,0,0,40,0,0,46,5,Bachelors
0,9,2,0,1,0,0,40,0,0,77,1,7th-8th
0,1,2,0,1,0,0,7,0,0,35,1,Bachelors
0,8,2,0,1,0,0,35,0,0,29,0,HS-grad
2,10,3,1,1,0,0,40,19,0,25,0,HS-grad
2,3,5,0,1,0,0,20,0,0,18,0,11th
0,4,2,0,1,0,0,60,0,0,38,0,Bachelors
2,5,3,0,1,0,0,55,0,1,37,1,Prof-school
0,10,2,0,1,0,0,60,0,0,43,0,HS-grad
0,0,2,0,1,0,0,40,0,0,48,0,HS-grad
1,0,3,0,0,0,0,40,0,0,24,0,Assoc-voc
2,3,1,0,0,0,0,36,0,0,22,0,HS-grad
2,7,3,0,1,0,0,40,0,0,25,0,10th
2,8,1,1,0,0,2205,30,15,0,22,0,Assoc-acdm
2,0,1,4,0,0,0,4,0,0,21,0,Some-college
0,4,2,0,1,7688,0,44,0,1,36,0,Assoc-acdm
0,4,2,0,1,0,0,55,0,1,50,0,Masters
1,1,3,0,1,0,0,40,0,0,28,0,Some-college
1,5,3,0,0,0,1092,40,0,0,33,5,Bachelors
1,0,1,0,0,0,0,40,0,0,48,0,Bachelors
0,10,2,0,1,10566,0,40,0,0,64,0,HS-grad
2,8,1,4,0,0,0,38,0,0,21,0,Bachelors
2,2,3,4,1,0,0,70,0,0,22,0,HS-grad
2,1,3,0,1,0,0,40,0,0,24,0,12th
0,4,2,0,1,0,0,65,0,1,40,2,Assoc-acdm
2,2,1,0,1,0,0,40,0,0,23,0,HS-grad
2,5,3,0,1,0,0,50,0,1,30,0,Prof-school
2,2,3,0,0,0,0,20,0,0,23,0,Some-college
0,9,2,0,1,0,0,70,0,0,31,1,Bachelors
0,1,2,0,1,15024,0,45,0,1,38,0,HS-grad
3,5,5,0,0,0,0,10,0,0,41,4,Bachelors
0,5,0,0,0,0,0,40,0,1,46,4,Bachelors
0,5,0,0,0,0,2415,3,0,1,49,0,Bachelors
1,1,5,0,1,0,0,40,0,0,50,0,Assoc-acdm
2,3,3,0,0,0,0,40,0,0,33,0,Masters
1,10,4,0,1,0,0,40,0,0,27,0,HS-grad
0,0,2,4,1,4064,0,40,0,0,47,0,Some-college
0,5,2,0,1,0,0,60,0,1,47,2,Bachelors
0,1,2,0,1,0,0,20,0,0,43,1,Assoc-acdm
0,1,2,0,1,0,0,50,0,1,45,0,HS-grad
0,10,2,0,1,0,0,45,0,1,53,2,Assoc-acdm
0,3,2,0,1,6767,0,40,0,0,67,0,Some-college
1,4,5,0,1,0,323,40,0,0,42,3,Assoc-voc
2,4,3,0,0,27828,0,50,0,1,37,3,Masters
0,3,2,0,1,0,0,40,0,0,33,0,Bachelors
1,1,4,0,1,0,0,40,0,0,53,0,HS-grad
0,5,2,0,1,7298,0,40,0,1,47,4,Bachelors
0,7,2,0,1,0,0,45,20,0,36,0,HS-grad
2,0,3,0,0,0,0,40,0,0,24,0,Bachelors
0,7,4,0,1,0,2057,48,0,0,30,0,HS-grad
0,1,2,0,1,0,0,60,0,1,40,0,HS-grad
2,8,5,0,0,0,0,45,8,0,28,0,Some-college
2,5,3,0,1,0,0,45,0,0,42,1,Masters
2,2,1,0,1,0,0,20,0,0,19,0,Some-college
0,3,2,0,1,0,0,25,0,0,44,1,Some-college
2,2,1,0,0,0,0,28,0,0,19,0,11th
1,5,3,0,1,0,0,25,0,0,48,0,Masters
2,3,5,0,0,0,0,8,0,0,30,0,11th
2,2,1,0,1,0,0,15,0,0,18,0,HS-grad
0,5,0,0,0,0,0,20,0,0,40,4,Bachelors
4,3,5,0,0,0,0,40,0,0,51,0,10th
0,5,2,0,1,0,0,48,0,1,50,2,Assoc-acdm
0,9,2,0,1,0,0,50,0,0,34,1,HS-grad
2,6,1,1,1,0,0,40,15,0,21,0,Some-college
0,1,2,0,1,0,1887,40,0,1,42,0,Some-college
0,10,2,1,1,0,0,40,15,0,49,3,HS-grad
0,7,2,2,1,0,0,40,0,0,26,0,Some-college
0,1,2,0,1,0,0,40,0,0,36,0,HS-grad
2,8,3,4,0,3325,0,40,0,0,34,5,Bachelors
2,3,1,0,0,0,0,24,0,0,17,0,11th
2,5,1,0,0,0,0,40,0,0,25,4,Bachelors
2,5,3,0,1,0,0,50,0,0,28,5,Masters
0,4,2,0,1,0,0,55,0,1,44,1,12th
2,8,1,0,0,0,0,20,0,0,20,0,12th
0,1,2,1,1,0,0,20,15,0,50,0,Bachelors
0,6,2,0,1,0,0,40,0,0,31,3,Assoc-voc
2,6,4,4,0,0,0,43,0,0,25,0,HS-grad
0,3,4,0,0,0,0,35,0,0,21,0,Bachelors
0,2,2,0,1,0,0,40,0,0,59,4,11th
0,5,0,0,0,0,0,8,0,0,33,1,Masters
1,8,3,0,0,0,1504,40,0,0,37,0,Assoc-acdm
0,3,2,0,1,0,0,40,0,1,31,5,Assoc-voc
0,1,2,0,1,0,0,40,0,1,44,0,Assoc-acdm
1,2,5,0,0,0,0,20,0,0,40,1,Bachelors
0,12,2,0,1,0,0,44,0,0,47,4,Some-college
0,1,2,0,1,0,0,50,0,1,33,4,HS-grad
2,2,1,3,1,0,0,40,0,0,27,0,11th
0,10,2,0,1,5013,0,40,0,0,51,0,HS-grad
1,3,3,0,0,0,0,40,0,0,70,2,Bachelors
1,7,3,4,1,0,0,40,0,0,40,0,Some-college
0,12,2,0,1,0,0,40,0,1,45,5,Some-college
0,5,2,0,1,0,1977,50,0,1,44,1,Prof-school
0,2,2,0,1,0,0,40,0,0,46,0,HS-grad
0,1,2,0,1,0,0,45,0,0,40,1,Some-college
0,3,2,0,1,0,0,50,0,1,59,2,HS-grad
0,3,2,0,1,0,0,25,0,0,63,2,5th-6th
0,12,2,0,1,0,0,40,0,0,31,0,11th
0,4,2,0,1,0,1848,50,0,1,28,0,Some-college
0,1,2,0,1,0,0,40,0,0,54,0,HS-grad
0,10,2,0,1,0,0,99,0,0,42,0,HS-grad
1,10,5,0,1,0,0,40,0,0,36,0,HS-grad
2,7,3,0,1,0,0,40,0,0,52,0,10th
2,7,3,0,1,0,0,55,0,0,35,0,Assoc-acdm
0,1,2,0,1,0,0,40,0,1,39,0,HS-grad
1,2,3,0,0,8614,0,52,0,1,42,0,Some-college
0,5,2,0,1,0,0,45,0,1,32,5,Bachelors
2,6,3,0,1,0,0,36,0,0,29,0,HS-grad
1,10,1,0,1,0,0,60,0,0,39,0,HS-grad
1,5,3,0,0,0,0,50,0,0,40,4,Masters
2,0,3,4,0,0,0,40,0,0,29,0,Bachelors
1,12,3,0,1,0,0,40,12,0,46,0,HS-grad
2,4,1,4,0,0,0,40,0,0,37,3,Some-college
0,4,2,0,1,0,0,40,0,0,53,0,HS-grad
1,4,3,0,1,0,0,60,0,0,45,0,Assoc-voc
1,12,3,0,1,0,0,48,0,0,53,4,Some-college
2,2,1,0,0,0,0,18,0,0,20,0,Some-college
0,8,2,0,1,0,0,40,0,0,58,0,HS-grad
0,7,2,0,1,0,0,50,0,1,33,0,HS-grad
1,1,3,0,1,0,1721,45,0,0,39,0,Assoc-voc
1,8,5,0,0,0,0,40,0,0,57,0,Some-college
2,4,3,0,1,0,1564,50,0,1,46,2,Masters
2,2,1,0,0,0,0,40,0,0,19,0,HS-grad
0,0,2,0,1,0,0,40,0,1,54,2,Bachelors
2,2,3,0,1,0,0,50,0,0,17,0,9th
5,9,3,0,1,0,0,40,20,0,30,0,9th
0,4,2,0,1,7688,0,55,0,1,37,4,Masters
0,7,2,0,1,0,0,40,0,0,42,3,HS-grad
0,10,2,0,1,0,0,60,0,1,37,1,HS-grad
0,4,2,0,1,0,0,40,0,1,29,0,Bachelors
0,10,2,0,1,0,0,40,0,1,50,0,10th
2,8,1,4,1,0,0,20,0,0,23,0,HS-grad
0,3,2,0,1,0,0,40,0,1,58,0,Bachelors
2,9,3,0,1,0,0,25,20,0,21,0,Preschool
2,3,4,0,0,0,0,40,20,0,22,0,9th
0,4,2,1,1,0,0,60,8,1,43,2,Masters
1,4,5,0,0,0,0,40,0,0,41,0,Masters
2,8,1,4,1,0,0,40,0,0,26,0,HS-grad
0,7,2,0,1,0,0,40,0,0,45,0,10th
0,1,2,0,1,0,0,40,0,0,65,0,HS-grad
1,7,3,0,1,3325,0,40,0,0,44,0,Some-college
2,8,3,0,1,3325,0,40,0,0,25,0,Some-college
0,1,2,0,1,0,0,40,0,0,56,0,9th
0,8,2,0,1,0,0,42,0,1,43,3,Bachelors
2,7,3,0,1,0,0,40,8,0,32,0,HS-grad
2,9,3,0,1,0,0,75,0,0,29,1,Assoc-voc
1,4,5,0,0,0,0,40,0,0,33,0,Bachelors
1,8,3,0,1,0,0,40,0,0,40,0,HS-grad
0,1,2,0,1,15024,0,49,0,1,45,0,HS-grad
2,5,1,0,0,0,0,40,0,0,40,5,Prof-school
2,3,3,0,1,0,1504,40,0,0,31,0,Some-college
0,4,2,0,1,0,0,60,0,0,46,0,Masters
1,2,3,0,1,0,0,40,0,0,48,0,7th-8th
2,1,5,0,1,0,0,40,0,0,24,0,Some-college
0,5,2,0,1,99999,0,60,0,1,48,1,Doctorate
2,8,1,4,0,0,0,40,0,0,25,0,Bachelors
0,3,2,0,1,0,1573,44,0,0,55,2,HS-grad
0,2,2,0,1,0,0,35,0,0,34,0,Assoc-acdm
2,3,3,4,1,0,0,40,28,0,26,0,Some-college
2,9,3,0,1,0,0,50,0,0,38,0,Assoc-voc
0,8,0,4,0,0,0,40,0,1,53,3,Assoc-acdm
2,2,1,4,1,0,0,40,0,0,26,0,HS-grad
2,9,3,0,1,2176,0,36,20,0,21,0,5th-6th
1,3,5,0,1,0,0,46,0,0,41,0,Some-college
0,1,2,1,1,0,0,45,10,0,45,1,HS-grad
0,4,2,3,1,0,0,40,38,1,47,3,Bachelors
0,0,2,0,1,0,1887,40,0,1,23,0,Assoc-voc
0,8,2,0,1,0,0,50,0,1,34,0,Masters
0,1,2,4,1,0,0,40,28,0,45,1,10th
2,9,5,0,1,0,0,50,0,0,27,1,HS-grad
2,8,1,2,0,0,0,15,0,0,17,3,11th
1,7,5,4,0,0,0,40,0,0,33,0,HS-grad
1,5,3,0,0,0,0,40,0,0,43,5,Bachelors
1,8,3,0,0,0,0,40,0,0,55,0,HS-grad
4,2,3,0,0,0,0,20,0,0,52,4,HS-grad
0,7,2,0,1,0,0,40,0,0,44,0,Bachelors
0,4,2,0,1,0,0,40,0,0,45,5,Masters
1,8,5,0,0,0,0,42,0,0,47,0,Some-college
0,0,2,0,1,0,0,35,0,1,48,0,Bachelors
0,10,2,0,1,0,0,50,12,0,66,1,5th-6th
0,4,2,0,1,0,0,25,0,0,47,1,Assoc-acdm
2,3,3,0,1,0,0,65,0,0,38,2,Some-college
2,8,3,0,0,0,0,40,0,0,23,0,HS-grad
2,6,1,0,1,0,0,23,0,0,18,0,11th
0,5,2,0,1,0,0,40,0,0,42,0,Bachelors
0,5,0,0,0,15024,0,50,4,1,40,0,Masters
2,3,1,0,1,0,0,40,0,0,25,0,HS-grad
0,10,2,0,1,0,0,50,0,1,38,0,HS-grad
0,3,2,0,1,0,0,40,0,0,31,2,Assoc-acdm
0,5,2,0,1,0,0,40,0,1,41,0,Assoc-acdm
2,6,3,0,0,0,0,30,0,0,24,0,HS-grad
0,8,2,4,1,0,0,40,28,0,47,0,Masters
2,3,1,0,1,0,0,45,0,0,22,0,Assoc-voc
0,6,2,0,1,0,0,40,6,0,52,0,9th
1,4,5,0,1,0,0,47,0,0,45,4,Assoc-acdm
0,9,2,0,1,0,0,45,0,0,31,0,Bachelors
2,5,3,0,1,0,0,60,0,0,48,0,Masters
2,8,5,4,0,0,0,40,0,0,22,2,HS-grad
0,4,2,0,1,0,0,50,0,0,45,0,Some-college
2,10,3,0,1,0,2205,60,0,0,31,1,10th
2,1,1,0,1,0,0,50,0,0,28,0,HS-grad
0,3,2,0,1,0,0,40,0,1,36,1,Bachelors
0,4,2,0,1,0,0,50,0,0,41,2,10th
2,8,1,0,0,0,0,40,0,0,24,0,Bachelors
4,4,3,0,1,6849,0,40,0,0,57,4,Some-college
2,2,1,4,0,0,0,40,0,0,20,0,HS-grad
2,4,1,0,1,4650,0,40,0,0,34,0,Masters
