@relation 'adult.test_income_AM3-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L<50k-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L>50k-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Remove-R2'

@attribute Education {13,9,6,8,10,11,12,4,3,7,14,1,5,15,2,0}
@attribute Marital-status {0,1,2,3,4,5,6}
@attribute Occupation {0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Relationship {0,1,2,3,4,5}
@attribute Race {0,1,2,3,4}
@attribute Sex {0,1}
@attribute Capital-gain numeric
@attribute Capital-loss numeric
@attribute Hours-per-week numeric
@attribute Native-country {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}
@attribute Income {0,1}
@attribute Age numeric
@attribute Workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}

@data
13,2,8,4,0,0,0,0,40,0,0,37,Private
9,2,3,1,0,0,0,0,40,0,0,26,Private
8,2,2,3,0,1,0,0,40,3,0,48,Private
9,2,7,5,4,1,0,0,40,0,0,27,Private
9,0,4,2,0,1,0,0,40,0,1,51,Federal-gov
12,2,8,1,0,0,0,0,40,5,0,23,Private
8,5,2,3,4,1,0,0,40,0,0,36,Private
9,0,1,2,2,1,5178,0,50,0,1,42,Private
11,0,5,2,4,1,0,0,50,0,1,34,Private
13,0,4,2,0,1,0,0,45,0,1,42,Self-emp-not-inc
9,2,6,3,0,1,0,0,40,0,0,20,Local-gov
9,0,3,2,0,1,5178,0,40,0,1,42,Private
8,2,1,4,3,1,0,0,40,3,0,35,Private
6,2,2,1,0,1,2176,0,20,0,0,17,Private
8,2,9,1,1,1,0,0,35,0,0,21,Self-emp-not-inc
15,0,5,2,0,1,0,0,40,0,1,50,Private
9,0,1,2,0,1,0,0,60,0,0,51,Self-emp-inc
9,0,12,2,0,1,0,0,20,0,0,77,Local-gov
8,0,7,2,0,1,0,0,40,0,0,33,Private
8,0,4,2,4,1,0,0,40,0,1,46,Private
13,0,4,2,0,1,0,0,50,0,1,61,Private
11,0,5,2,0,1,0,0,65,0,0,35,State-gov
13,0,4,2,0,1,0,0,40,0,1,43,Self-emp-inc
9,2,3,1,0,0,2597,0,20,0,0,20,Private
13,1,0,5,0,0,0,0,40,0,0,31,Private
13,2,5,3,0,0,0,0,10,0,0,23,Local-gov
14,0,5,2,0,1,0,1740,40,0,0,51,Private
12,2,4,5,2,0,0,0,40,0,0,34,Private
8,0,4,2,0,1,0,0,50,0,0,49,Self-emp-not-inc
8,3,8,5,4,0,0,0,40,0,0,36,Local-gov
8,2,6,3,0,1,0,0,40,0,0,24,Private
13,1,3,5,0,0,0,0,75,0,0,44,Private
8,1,9,5,4,0,0,0,39,0,0,45,Private
8,2,0,3,0,1,0,0,45,0,0,27,Private
8,0,8,0,0,0,0,0,43,0,1,21,Private
8,2,2,3,0,1,0,0,40,0,0,33,Private
2,0,7,2,4,1,0,0,48,0,0,58,Private
9,0,9,2,0,1,0,0,40,0,0,42,State-gov
9,2,6,5,0,1,0,0,40,0,0,21,Private
9,2,7,3,0,1,0,0,42,0,0,24,Private
1,0,2,2,0,1,0,0,43,20,0,41,Private
9,0,5,2,0,1,0,0,40,0,1,69,Private
9,2,5,1,0,1,0,0,30,0,0,28,Self-emp-not-inc
8,3,3,3,0,0,0,0,40,0,0,36,Private
8,0,6,2,2,1,0,0,40,0,0,33,Private
13,2,4,3,0,1,0,0,40,0,0,24,Private
8,2,2,3,0,0,0,0,30,0,0,18,Private
9,0,1,2,0,1,0,0,50,0,0,29,Private
9,2,3,4,1,1,0,0,20,7,0,24,Private
8,2,8,3,0,0,0,0,40,0,0,26,Private
15,1,5,5,0,0,0,0,29,0,0,47,Private
8,4,8,3,0,0,0,0,40,0,0,67,Private
9,2,0,1,0,1,0,0,40,0,0,22,Private
4,0,10,2,0,1,0,0,40,0,0,46,Self-emp-not-inc
13,0,4,2,0,1,0,0,40,0,1,30,State-gov
13,2,5,3,0,0,0,0,40,4,0,33,Private
13,2,5,3,0,0,0,0,50,0,0,26,Private
8,1,3,3,0,0,0,0,34,0,0,31,Private
8,2,2,3,0,0,0,1762,40,0,0,26,Private
11,0,12,2,0,1,0,1977,40,0,1,50,Local-gov
10,0,5,2,1,1,7298,0,50,34,1,53,Self-emp-inc
13,0,1,2,0,1,99999,0,40,0,1,48,Private
8,0,10,2,0,1,0,0,55,0,0,59,Private
3,1,7,3,4,1,0,0,40,0,0,54,Private
9,1,8,3,0,0,0,0,40,0,0,55,Private
8,0,4,2,0,1,0,0,40,0,1,40,Private
13,2,4,3,0,0,0,0,50,0,0,47,Private
9,2,3,1,0,0,0,0,25,0,0,19,Private
8,5,8,5,0,0,0,0,40,0,0,44,Private
8,4,4,3,0,1,0,0,55,0,1,58,Private
13,2,12,4,0,1,0,0,45,0,0,26,Private
11,0,1,2,0,1,0,1579,45,0,0,31,Self-emp-inc
5,2,3,1,0,1,0,0,80,0,0,28,Self-emp-not-inc
8,1,2,5,4,0,0,0,40,0,0,27,Private
14,0,3,0,0,0,0,0,70,0,0,56,Self-emp-not-inc
8,0,10,2,0,1,0,0,40,0,0,44,Private
9,1,8,5,0,0,0,0,18,0,0,26,Private
8,1,3,5,0,1,0,0,16,0,0,51,Private
9,0,1,2,0,1,0,0,48,0,1,34,Private
14,0,4,2,0,1,0,0,20,0,0,50,Self-emp-not-inc
13,0,5,2,1,1,0,0,12,0,0,67,State-gov
9,2,5,3,0,1,0,0,40,0,0,27,Private
13,2,0,3,0,1,0,1340,40,0,0,27,Private
5,2,6,1,0,1,0,0,40,20,0,23,Private
8,0,1,2,0,1,0,0,40,0,1,61,Private
13,0,4,2,0,1,0,0,46,0,1,49,Private
14,5,5,5,0,0,7430,0,60,0,1,43,Local-gov
8,0,10,2,0,1,0,0,30,0,0,62,Self-emp-not-inc
8,0,3,2,0,1,0,0,30,0,0,69,Self-emp-inc
10,0,5,2,0,1,0,0,60,0,1,37,Self-emp-inc
9,0,1,2,0,1,5178,0,40,0,1,39,Self-emp-not-inc
11,2,4,3,0,1,27828,0,45,0,1,43,Self-emp-inc
13,0,8,2,0,1,0,0,40,0,0,35,Private
13,0,9,2,0,1,0,0,40,0,0,30,Private
13,0,5,2,0,1,0,0,20,0,1,59,Self-emp-inc
9,0,4,2,0,1,0,0,84,0,1,39,Self-emp-inc
13,2,5,1,0,1,13550,0,50,0,1,23,Private
8,2,7,1,0,1,14344,0,48,0,1,41,Private
13,2,3,1,4,0,0,0,30,0,0,21,Private
6,0,1,2,0,1,0,0,45,0,0,53,Private
13,2,5,3,0,0,0,0,20,0,0,33,Local-gov
8,2,3,3,0,0,0,0,35,0,0,25,Private
8,2,10,1,4,1,0,0,40,0,0,34,Private
8,1,8,3,0,0,0,0,62,0,0,26,Private
8,1,8,3,4,1,0,0,40,0,0,59,Private
8,2,11,1,0,0,0,0,40,0,0,20,Private
8,2,9,3,0,1,0,0,45,0,0,23,Private
13,0,3,2,0,1,0,0,80,29,1,33,Private
9,3,2,1,0,1,0,0,40,0,0,23,Private
8,2,7,1,0,1,0,0,40,0,0,32,Private
8,0,1,2,0,1,0,0,45,0,1,30,Private
13,0,5,2,0,1,0,0,50,0,1,29,Private
8,2,1,3,0,1,0,0,45,0,0,31,Self-emp-not-inc
12,0,1,2,0,1,0,0,40,0,1,35,Private
8,1,2,3,0,0,0,0,40,0,0,34,Federal-gov
8,0,8,2,0,1,0,0,40,0,0,30,State-gov
9,0,1,2,0,1,0,0,40,0,0,41,Private
9,0,4,2,0,1,0,0,54,0,1,56,Private
8,0,1,2,0,1,0,0,40,35,1,53,Self-emp-not-inc
8,0,1,2,4,1,0,0,52,0,1,56,Private
5,2,2,1,0,0,0,0,8,0,0,17,Private
11,0,2,2,0,1,0,0,40,0,0,24,Private
4,5,3,3,0,0,0,0,35,0,0,24,Private
12,0,3,2,0,1,3103,0,45,0,1,26,Private
14,2,4,3,0,1,0,0,60,0,0,26,Private
13,0,5,2,0,1,3103,0,40,0,1,59,State-gov
8,0,10,2,4,1,0,0,60,0,0,44,Federal-gov
9,1,0,5,0,0,0,1726,40,0,0,38,Private
9,2,7,3,0,1,0,0,40,0,0,25,Private
14,0,4,2,0,1,0,0,50,0,1,52,Local-gov
9,0,1,2,0,1,0,0,40,0,0,37,Private
9,0,4,2,0,1,0,0,60,0,1,33,Private
9,3,8,3,0,1,0,0,40,0,0,28,Private
9,2,8,1,4,0,0,1602,20,0,0,19,Federal-gov
9,1,4,3,0,0,0,0,40,0,0,46,Private
8,0,2,2,0,1,0,0,40,0,0,30,Local-gov
13,2,5,1,0,0,0,0,40,0,1,33,Private
5,2,11,4,0,0,0,0,40,0,0,48,Private
8,0,6,2,0,1,0,1902,42,0,1,51,Private
13,0,4,2,0,1,0,0,50,0,1,34,Self-emp-inc
8,0,6,2,0,1,0,0,40,0,1,39,Private
2,0,1,2,4,1,0,0,6,0,0,68,Self-emp-not-inc
9,0,6,2,0,1,0,0,40,0,0,28,Private
8,2,8,3,0,0,0,0,40,0,1,90,Private
13,0,10,2,0,1,0,0,40,0,0,42,Private
9,0,0,2,0,1,0,0,75,0,1,43,Federal-gov
12,2,2,1,0,0,0,0,40,0,0,57,Private
13,0,5,2,0,1,3103,0,40,0,1,28,Private
3,0,6,2,0,1,0,0,40,36,0,36,Private
8,2,4,3,0,1,0,0,50,0,0,31,Private
9,2,1,4,0,1,0,0,40,0,0,27,State-gov
8,2,7,1,0,1,0,0,40,0,0,21,Private
9,0,8,0,0,0,0,0,35,0,0,41,Private
8,2,8,1,0,0,0,0,40,20,0,21,Private
5,0,6,2,0,1,0,0,40,0,0,59,Private
8,2,6,1,0,1,0,0,40,0,0,19,Private
8,0,1,2,0,1,0,0,45,0,0,32,Private
13,0,4,2,1,1,0,0,60,0,1,38,Private
13,0,3,2,0,1,0,0,70,0,1,58,Self-emp-inc
8,2,8,1,0,0,0,0,40,0,0,21,Private
14,2,5,3,0,1,0,1876,40,0,0,37,Federal-gov
8,1,8,5,0,0,0,0,40,0,0,47,Private
9,1,7,5,0,0,0,0,55,0,1,31,Private
12,4,4,5,0,0,0,0,30,0,0,44,Private
9,1,4,3,0,0,0,0,40,0,0,50,Private
8,5,10,3,4,1,0,0,49,28,0,29,Private
13,0,4,2,0,1,0,0,25,0,0,59,Self-emp-not-inc
11,2,4,3,0,0,0,0,40,0,0,27,Private
12,2,3,1,0,0,0,0,20,0,0,22,Private
9,1,2,3,0,0,0,0,40,0,0,31,Private
8,0,8,2,0,1,7298,0,40,0,1,53,Federal-gov
13,0,4,2,0,1,15024,0,50,0,1,35,Private
8,0,8,0,0,0,0,0,40,0,1,47,Private
13,0,4,2,0,1,0,0,45,2,1,47,Private
13,2,2,1,0,0,2463,0,30,0,0,25,Private
13,0,1,2,0,1,0,0,40,0,0,46,State-gov
3,0,9,2,0,1,0,0,40,0,0,77,Self-emp-not-inc
13,0,1,2,0,1,0,0,7,0,0,35,Self-emp-not-inc
8,0,8,2,0,1,0,0,35,0,0,29,Private
8,2,10,3,1,1,0,0,40,19,0,25,Private
6,2,3,5,0,1,0,0,20,0,0,18,Private
13,0,4,2,0,1,0,0,60,0,0,38,Private
10,2,5,3,0,1,0,0,55,0,1,37,Self-emp-not-inc
8,0,10,2,0,1,0,0,60,0,0,43,Private
8,0,0,2,0,1,0,0,40,0,0,48,Private
12,1,0,3,0,0,0,0,40,0,0,24,Private
8,2,3,1,0,0,0,0,36,0,0,22,Private
5,2,7,3,0,1,0,0,40,0,0,25,Private
11,2,8,1,1,0,0,2205,30,15,0,22,Private
9,2,0,1,4,0,0,0,4,0,0,21,Private
11,0,4,2,0,1,7688,0,44,0,1,36,Private
14,0,4,2,0,1,0,0,55,0,1,50,Private
9,1,1,3,0,1,0,0,40,0,0,28,Private
13,1,5,3,0,0,0,1092,40,0,0,33,State-gov
13,1,0,1,0,0,0,0,40,0,0,48,Private
8,0,10,2,0,1,10566,0,40,0,0,64,Private
13,2,8,1,4,0,0,0,38,0,0,21,Private
8,2,2,3,4,1,0,0,70,0,0,22,Private
7,2,1,3,0,1,0,0,40,0,0,24,Private
11,0,4,2,0,1,0,0,65,0,1,40,Self-emp-inc
8,2,2,1,0,1,0,0,40,0,0,23,Private
10,2,5,3,0,1,0,0,50,0,1,30,Private
9,2,2,3,0,0,0,0,20,0,0,23,Private
13,0,9,2,0,1,0,0,70,0,0,31,Self-emp-not-inc
8,0,1,2,0,1,15024,0,45,0,1,38,Private
13,3,5,5,0,0,0,0,10,0,0,41,Local-gov
13,0,5,0,0,0,0,0,40,0,1,46,Local-gov
13,0,5,0,0,0,0,2415,3,0,1,49,Private
11,1,1,5,0,1,0,0,40,0,0,50,Private
14,2,3,3,0,0,0,0,40,0,0,33,Private
8,1,10,4,0,1,0,0,40,0,0,27,Private
9,0,0,2,4,1,4064,0,40,0,0,47,Private
13,0,5,2,0,1,0,0,60,0,1,47,Self-emp-inc
11,0,1,2,0,1,0,0,20,0,0,43,Self-emp-not-inc
8,0,1,2,0,1,0,0,50,0,1,45,Private
11,0,10,2,0,1,0,0,45,0,1,53,Self-emp-inc
9,0,3,2,0,1,6767,0,40,0,0,67,Private
12,1,4,5,0,1,0,323,40,0,0,42,Federal-gov
14,2,4,3,0,0,27828,0,50,0,1,37,Federal-gov
13,0,3,2,0,1,0,0,40,0,0,33,Private
8,1,1,4,0,1,0,0,40,0,0,53,Private
13,0,5,2,0,1,7298,0,40,0,1,47,Local-gov
8,0,7,2,0,1,0,0,45,20,0,36,Private
13,2,0,3,0,0,0,0,40,0,0,24,Private
8,0,7,4,0,1,0,2057,48,0,0,30,Private
8,0,1,2,0,1,0,0,60,0,1,40,Private
9,2,8,5,0,0,0,0,45,8,0,28,Private
14,2,5,3,0,1,0,0,45,0,0,42,Self-emp-not-inc
9,2,2,1,0,1,0,0,20,0,0,19,Private
9,0,3,2,0,1,0,0,25,0,0,44,Self-emp-not-inc
6,2,2,1,0,0,0,0,28,0,0,19,Private
14,1,5,3,0,1,0,0,25,0,0,48,Private
6,2,3,5,0,0,0,0,8,0,0,30,Private
8,2,2,1,0,1,0,0,15,0,0,18,Private
13,0,5,0,0,0,0,0,20,0,0,40,Local-gov
5,4,3,5,0,0,0,0,40,0,0,51,Private
11,0,5,2,0,1,0,0,48,0,1,50,Self-emp-inc
8,0,9,2,0,1,0,0,50,0,0,34,Self-emp-not-inc
9,2,6,1,1,1,0,0,40,15,0,21,Private
9,0,1,2,0,1,0,1887,40,0,1,42,Private
8,0,10,2,1,1,0,0,40,15,0,49,Federal-gov
9,0,7,2,2,1,0,0,40,0,0,26,Private
8,0,1,2,0,1,0,0,40,0,0,36,Private
13,2,8,3,4,0,3325,0,40,0,0,34,State-gov
6,2,3,1,0,0,0,0,24,0,0,17,Private
13,2,5,1,0,0,0,0,40,0,0,25,Local-gov
14,2,5,3,0,1,0,0,50,0,0,28,State-gov
7,0,4,2,0,1,0,0,55,0,1,44,Self-emp-not-inc
7,2,8,1,0,0,0,0,20,0,0,20,Private
13,0,1,2,1,1,0,0,20,15,0,50,Private
12,0,6,2,0,1,0,0,40,0,0,31,Federal-gov
8,2,6,4,4,0,0,0,43,0,0,25,Private
13,0,3,4,0,0,0,0,35,0,0,21,Private
6,0,2,2,0,1,0,0,40,0,0,59,Local-gov
14,0,5,0,0,0,0,0,8,0,0,33,Self-emp-not-inc
11,1,8,3,0,0,0,1504,40,0,0,37,Private
12,0,3,2,0,1,0,0,40,0,1,31,State-gov
11,0,1,2,0,1,0,0,40,0,1,44,Private
13,1,2,5,0,0,0,0,20,0,0,40,Self-emp-not-inc
9,0,12,2,0,1,0,0,44,0,0,47,Local-gov
8,0,1,2,0,1,0,0,50,0,1,33,Local-gov
6,2,2,1,3,1,0,0,40,0,0,27,Private
8,0,10,2,0,1,5013,0,40,0,0,51,Private
13,1,3,3,0,0,0,0,40,0,0,70,Self-emp-inc
9,1,7,3,4,1,0,0,40,0,0,40,Private
9,0,12,2,0,1,0,0,40,0,1,45,State-gov
10,0,5,2,0,1,0,1977,50,0,1,44,Self-emp-not-inc
8,0,2,2,0,1,0,0,40,0,0,46,Private
9,0,1,2,0,1,0,0,45,0,0,40,Self-emp-not-inc
8,0,3,2,0,1,0,0,50,0,1,59,Self-emp-inc
2,0,3,2,0,1,0,0,25,0,0,63,Self-emp-inc
6,0,12,2,0,1,0,0,40,0,0,31,Private
9,0,4,2,0,1,0,1848,50,0,1,28,Private
8,0,1,2,0,1,0,0,40,0,0,54,Private
8,0,10,2,0,1,0,0,99,0,0,42,Private
8,1,10,5,0,1,0,0,40,0,0,36,Private
5,2,7,3,0,1,0,0,40,0,0,52,Private
11,2,7,3,0,1,0,0,55,0,0,35,Private
8,0,1,2,0,1,0,0,40,0,1,39,Private
9,1,2,3,0,0,8614,0,52,0,1,42,Private
13,0,5,2,0,1,0,0,45,0,1,32,State-gov
8,2,6,3,0,1,0,0,36,0,0,29,Private
8,1,10,1,0,1,0,0,60,0,0,39,Private
14,1,5,3,0,0,0,0,50,0,0,40,Local-gov
13,2,0,3,4,0,0,0,40,0,0,29,Private
8,1,12,3,0,1,0,0,40,12,0,46,Private
9,2,4,1,4,0,0,0,40,0,0,37,Federal-gov
8,0,4,2,0,1,0,0,40,0,0,53,Private
12,1,4,3,0,1,0,0,60,0,0,45,Private
9,1,12,3,0,1,0,0,48,0,0,53,Local-gov
9,2,2,1,0,0,0,0,18,0,0,20,Private
8,0,8,2,0,1,0,0,40,0,0,58,Private
8,0,7,2,0,1,0,0,50,0,1,33,Private
12,1,1,3,0,1,0,1721,45,0,0,39,Private
9,1,8,5,0,0,0,0,40,0,0,57,Private
14,2,4,3,0,1,0,1564,50,0,1,46,Self-emp-inc
8,2,2,1,0,0,0,0,40,0,0,19,Private
13,0,0,2,0,1,0,0,40,0,1,54,Self-emp-inc
4,2,2,3,0,1,0,0,50,0,0,17,Private
4,5,9,3,0,1,0,0,40,20,0,30,Private
14,0,4,2,0,1,7688,0,55,0,1,37,Local-gov
8,0,7,2,0,1,0,0,40,0,0,42,Federal-gov
8,0,10,2,0,1,0,0,60,0,1,37,Self-emp-not-inc
13,0,4,2,0,1,0,0,40,0,1,29,Private
5,0,10,2,0,1,0,0,40,0,1,50,Private
8,2,8,1,4,1,0,0,20,0,0,23,Private
13,0,3,2,0,1,0,0,40,0,1,58,Private
0,2,9,3,0,1,0,0,25,20,0,21,Private
4,2,3,4,0,0,0,0,40,20,0,22,Private
14,0,4,2,1,1,0,0,60,8,1,43,Self-emp-inc
14,1,4,5,0,0,0,0,40,0,0,41,Private
8,2,8,1,4,1,0,0,40,0,0,26,Private
5,0,7,2,0,1,0,0,40,0,0,45,Private
8,0,1,2,0,1,0,0,40,0,0,65,Private
9,1,7,3,0,1,3325,0,40,0,0,44,Private
9,2,8,3,0,1,3325,0,40,0,0,25,Private
4,0,1,2,0,1,0,0,40,0,0,56,Private
13,0,8,2,0,1,0,0,42,0,1,43,Federal-gov
8,2,7,3,0,1,0,0,40,8,0,32,Private
12,2,9,3,0,1,0,0,75,0,0,29,Self-emp-not-inc
13,1,4,5,0,0,0,0,40,0,0,33,Private
8,1,8,3,0,1,0,0,40,0,0,40,Private
8,0,1,2,0,1,15024,0,49,0,1,45,Private
10,2,5,1,0,0,0,0,40,0,0,40,State-gov
9,2,3,3,0,1,0,1504,40,0,0,31,Private
14,0,4,2,0,1,0,0,60,0,0,46,Private
3,1,2,3,0,1,0,0,40,0,0,48,Private
9,2,1,5,0,1,0,0,40,0,0,24,Private
15,0,5,2,0,1,99999,0,60,0,1,48,Self-emp-not-inc
13,2,8,1,4,0,0,0,40,0,0,25,Private
8,0,3,2,0,1,0,1573,44,0,0,55,Self-emp-inc
11,0,2,2,0,1,0,0,35,0,0,34,Private
9,2,3,3,4,1,0,0,40,28,0,26,Private
12,2,9,3,0,1,0,0,50,0,0,38,Private
11,0,8,0,4,0,0,0,40,0,1,53,Federal-gov
8,2,2,1,4,1,0,0,40,0,0,26,Private
2,2,9,3,0,1,2176,0,36,20,0,21,Private
9,1,3,5,0,1,0,0,46,0,0,41,Private
8,0,1,2,1,1,0,0,45,10,0,45,Self-emp-not-inc
13,0,4,2,3,1,0,0,40,38,1,47,Federal-gov
12,0,0,2,0,1,0,1887,40,0,1,23,Private
14,0,8,2,0,1,0,0,50,0,1,34,Private
5,0,1,2,4,1,0,0,40,28,0,45,Self-emp-not-inc
8,2,9,5,0,1,0,0,50,0,0,27,Self-emp-not-inc
6,2,8,1,2,0,0,0,15,0,0,17,Federal-gov
8,1,7,5,4,0,0,0,40,0,0,33,Private
13,1,5,3,0,0,0,0,40,0,0,43,State-gov
8,1,8,3,0,0,0,0,40,0,0,55,Private
8,4,2,3,0,0,0,0,20,0,0,52,Local-gov
13,0,7,2,0,1,0,0,40,0,0,44,Private
14,0,4,2,0,1,0,0,40,0,0,45,State-gov
9,1,8,5,0,0,0,0,42,0,0,47,Private
13,0,0,2,0,1,0,0,35,0,1,48,Private
2,0,10,2,0,1,0,0,50,12,0,66,Self-emp-not-inc
11,0,4,2,0,1,0,0,25,0,0,47,Self-emp-not-inc
9,2,3,3,0,1,0,0,65,0,0,38,Self-emp-inc
8,2,8,3,0,0,0,0,40,0,0,23,Private
6,2,6,1,0,1,0,0,23,0,0,18,Private
13,0,5,2,0,1,0,0,40,0,0,42,Private
14,0,5,0,0,0,15024,0,50,4,1,40,Private
8,2,3,1,0,1,0,0,40,0,0,25,Private
8,0,10,2,0,1,0,0,50,0,1,38,Private
11,0,3,2,0,1,0,0,40,0,0,31,Self-emp-inc
11,0,5,2,0,1,0,0,40,0,1,41,Private
8,2,6,3,0,0,0,0,30,0,0,24,Private
14,0,8,2,4,1,0,0,40,28,0,47,Private
12,2,3,1,0,1,0,0,45,0,0,22,Private
4,0,6,2,0,1,0,0,40,6,0,52,Private
11,1,4,5,0,1,0,0,47,0,0,45,Local-gov
13,0,9,2,0,1,0,0,45,0,0,31,Private
14,2,5,3,0,1,0,0,60,0,0,48,Private
8,2,8,5,4,0,0,0,40,0,0,22,Self-emp-inc
9,0,4,2,0,1,0,0,50,0,0,45,Private
5,2,10,3,0,1,0,2205,60,0,0,31,Self-emp-not-inc
8,2,1,1,0,1,0,0,50,0,0,28,Private
13,0,3,2,0,1,0,0,40,0,1,36,Self-emp-not-inc
5,0,4,2,0,1,0,0,50,0,0,41,Self-emp-inc
13,2,8,1,0,0,0,0,40,0,0,24,Private
9,4,4,3,0,1,6849,0,40,0,0,57,Local-gov
8,2,2,1,4,0,0,0,40,0,0,20,Private
14,2,4,1,0,1,4650,0,40,0,0,34,Private
9,2,2,1,0,1,0,0,35,0,0,23,Private
8,2,2,3,0,0,0,0,40,0,0,21,Private
8,1,1,3,0,1,0,0,40,0,0,33,Private
8,2,3,1,4,0,0,0,20,0,0,20,Private
9,0,4,2,0,1,0,0,40,0,1,53,State-gov
8,0,9,2,0,1,0,0,40,4,0,35,Private
9,2,8,3,0,0,0,0,55,0,0,31,Private
14,0,3,2,0,1,3103,0,43,0,1,40,Private
13,0,5,0,0,0,0,0,48,0,1,37,Federal-gov
9,1,1,1,0,1,0,0,40,0,0,37,Private
8,2,2,1,0,0,0,0,35,0,0,19,Private
14,2,5,3,0,1,0,0,50,0,0,42,Private
9,2,8,3,0,0,0,0,40,8,0,24,Private
11,1,4,5,4,0,0,0,50,18,0,35,Private
9,0,12,2,0,1,0,0,40,0,1,46,Private
