@relation adult.test_income_AM3-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L<50k-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L>50k-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R4

@attribute Age numeric
@attribute Workclass {0,1,2,3,4,5,6,7}
@attribute Education {13,9,6,8,10,11,12,4,3,7,14,1,5,15,2,0}
@attribute Marital-status {0,1,2,3,4,5,6}
@attribute Occupation {0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Relationship {0,1,2,3,4,5}
@attribute Race {0,1,2,3,4}
@attribute Sex {0,1}
@attribute Capital-gain numeric
@attribute Capital-loss numeric
@attribute Hours-per-week numeric
@attribute Native-country {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}
@attribute Income {<=50K,>50K}

@data
17,0,4,2,2,3,0,1,0,0,50,0,<=50K
30,0,4,5,9,3,0,1,0,0,40,20,<=50K
37,4,14,0,4,2,0,1,7688,0,55,0,>50K
42,3,8,0,7,2,0,1,0,0,40,0,<=50K
37,1,8,0,10,2,0,1,0,0,60,0,>50K
29,0,13,0,4,2,0,1,0,0,40,0,>50K
50,0,5,0,10,2,0,1,0,0,40,0,>50K
23,0,8,2,8,1,4,1,0,0,20,0,<=50K
58,0,13,0,3,2,0,1,0,0,40,0,>50K
21,0,0,2,9,3,0,1,0,0,25,20,<=50K
22,0,4,2,3,4,0,0,0,0,40,20,<=50K
43,2,14,0,4,2,1,1,0,0,60,8,>50K
41,0,14,1,4,5,0,0,0,0,40,0,<=50K
26,0,8,2,8,1,4,1,0,0,40,0,<=50K
45,0,5,0,7,2,0,1,0,0,40,0,<=50K
65,0,8,0,1,2,0,1,0,0,40,0,<=50K
44,0,9,1,7,3,0,1,3325,0,40,0,<=50K
25,0,9,2,8,3,0,1,3325,0,40,0,<=50K
56,0,4,0,1,2,0,1,0,0,40,0,<=50K
43,3,13,0,8,2,0,1,0,0,42,0,>50K
32,0,8,2,7,3,0,1,0,0,40,8,<=50K
29,1,12,2,9,3,0,1,0,0,75,0,<=50K
33,0,13,1,4,5,0,0,0,0,40,0,<=50K
40,0,8,1,8,3,0,1,0,0,40,0,<=50K
45,0,8,0,1,2,0,1,15024,0,49,0,>50K
40,5,10,2,5,1,0,0,0,0,40,0,<=50K
31,0,9,2,3,3,0,1,0,1504,40,0,<=50K
46,0,14,0,4,2,0,1,0,0,60,0,<=50K
48,0,3,1,2,3,0,1,0,0,40,0,<=50K
24,0,9,2,1,5,0,1,0,0,40,0,<=50K
48,1,15,0,5,2,0,1,99999,0,60,0,>50K
25,0,13,2,8,1,4,0,0,0,40,0,<=50K
55,2,8,0,3,2,0,1,0,1573,44,0,<=50K
34,0,11,0,2,2,0,1,0,0,35,0,<=50K
26,0,9,2,3,3,4,1,0,0,40,28,<=50K
38,0,12,2,9,3,0,1,0,0,50,0,<=50K
53,3,11,0,8,0,4,0,0,0,40,0,>50K
26,0,8,2,2,1,4,1,0,0,40,0,<=50K
21,0,2,2,9,3,0,1,2176,0,36,20,<=50K
41,0,9,1,3,5,0,1,0,0,46,0,<=50K
45,1,8,0,1,2,1,1,0,0,45,10,<=50K
47,3,13,0,4,2,3,1,0,0,40,38,>50K
23,0,12,0,0,2,0,1,0,1887,40,0,>50K
34,0,14,0,8,2,0,1,0,0,50,0,>50K
45,1,5,0,1,2,4,1,0,0,40,28,<=50K
27,1,8,2,9,5,0,1,0,0,50,0,<=50K
17,3,6,2,8,1,2,0,0,0,15,0,<=50K
33,0,8,1,7,5,4,0,0,0,40,0,<=50K
43,5,13,1,5,3,0,0,0,0,40,0,<=50K
55,0,8,1,8,3,0,0,0,0,40,0,<=50K
52,4,8,4,2,3,0,0,0,0,20,0,<=50K
44,0,13,0,7,2,0,1,0,0,40,0,<=50K
45,5,14,0,4,2,0,1,0,0,40,0,<=50K
47,0,9,1,8,5,0,0,0,0,42,0,<=50K
48,0,13,0,0,2,0,1,0,0,35,0,>50K
66,1,2,0,10,2,0,1,0,0,50,12,<=50K
47,1,11,0,4,2,0,1,0,0,25,0,<=50K
38,2,9,2,3,3,0,1,0,0,65,0,<=50K
23,0,8,2,8,3,0,0,0,0,40,0,<=50K
18,0,6,2,6,1,0,1,0,0,23,0,<=50K
42,0,13,0,5,2,0,1,0,0,40,0,<=50K
40,0,14,0,5,0,0,0,15024,0,50,4,>50K
25,0,8,2,3,1,0,1,0,0,40,0,<=50K
38,0,8,0,10,2,0,1,0,0,50,0,>50K
31,2,11,0,3,2,0,1,0,0,40,0,<=50K
41,0,11,0,5,2,0,1,0,0,40,0,>50K
24,0,8,2,6,3,0,0,0,0,30,0,<=50K
47,0,14,0,8,2,4,1,0,0,40,28,<=50K
22,0,12,2,3,1,0,1,0,0,45,0,<=50K
52,0,4,0,6,2,0,1,0,0,40,6,<=50K
45,4,11,1,4,5,0,1,0,0,47,0,<=50K
31,0,13,0,9,2,0,1,0,0,45,0,<=50K
48,0,14,2,5,3,0,1,0,0,60,0,<=50K
22,2,8,2,8,5,4,0,0,0,40,0,<=50K
45,0,9,0,4,2,0,1,0,0,50,0,<=50K
31,1,5,2,10,3,0,1,0,2205,60,0,<=50K
28,0,8,2,1,1,0,1,0,0,50,0,<=50K
36,1,13,0,3,2,0,1,0,0,40,0,>50K
41,2,5,0,4,2,0,1,0,0,50,0,<=50K
24,0,13,2,8,1,0,0,0,0,40,0,<=50K
57,4,9,4,4,3,0,1,6849,0,40,0,<=50K
20,0,8,2,2,1,4,0,0,0,40,0,<=50K
34,0,14,2,4,1,0,1,4650,0,40,0,<=50K
23,0,9,2,2,1,0,1,0,0,35,0,<=50K
21,0,8,2,2,3,0,0,0,0,40,0,<=50K
33,0,8,1,1,3,0,1,0,0,40,0,<=50K
20,0,8,2,3,1,4,0,0,0,20,0,<=50K
53,5,9,0,4,2,0,1,0,0,40,0,>50K
35,0,8,0,9,2,0,1,0,0,40,4,<=50K
31,0,9,2,8,3,0,0,0,0,55,0,<=50K
40,0,14,0,3,2,0,1,3103,0,43,0,>50K
37,3,13,0,5,0,0,0,0,0,48,0,>50K
37,0,9,1,1,1,0,1,0,0,40,0,<=50K
19,0,8,2,2,1,0,0,0,0,35,0,<=50K
42,0,14,2,5,3,0,1,0,0,50,0,<=50K
24,0,9,2,8,3,0,0,0,0,40,8,<=50K
35,0,11,1,4,5,4,0,0,0,50,18,<=50K
46,0,9,0,12,2,0,1,0,0,40,0,>50K
25,0,8,2,3,1,0,0,0,0,40,20,<=50K
39,1,8,0,1,2,0,1,0,0,40,21,<=50K
20,0,8,2,6,1,4,1,0,0,20,0,<=50K
76,1,9,4,3,3,0,1,0,0,20,0,<=50K
32,0,13,0,1,0,0,0,0,0,40,0,>50K
27,0,12,0,5,2,0,1,0,0,44,0,>50K
39,0,9,2,3,3,0,1,0,0,40,0,<=50K
22,0,11,2,9,3,4,0,0,0,40,0,<=50K
30,0,8,1,1,1,0,1,0,0,40,0,<=50K
23,0,8,2,1,3,0,1,0,0,40,0,<=50K
47,0,8,0,8,2,0,1,15024,0,40,0,>50K
59,0,8,0,2,4,0,1,0,0,40,32,<=50K
24,0,8,2,1,5,0,1,0,0,45,0,<=50K
59,3,8,2,4,4,0,0,0,0,40,0,<=50K
52,4,9,0,12,2,0,1,0,0,40,0,>50K
36,0,13,0,1,2,0,1,0,0,35,0,<=50K
24,0,13,2,0,1,0,1,0,0,42,0,<=50K
24,0,8,2,6,3,4,1,0,0,50,0,<=50K
24,0,8,0,7,2,0,1,0,0,40,0,<=50K
45,4,14,2,5,3,0,0,0,0,45,0,<=50K
48,0,13,0,4,2,0,1,0,0,40,0,>50K
38,0,8,3,11,5,4,0,0,0,40,0,<=50K
82,1,3,0,4,2,0,1,0,0,40,0,<=50K
24,0,13,2,8,3,0,0,0,0,40,0,<=50K
22,4,9,2,8,1,2,0,0,0,40,0,<=50K
